taxonomy_id	species	genus	family	order	class	phylum	kingdom
449461	Nocardioides humi	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
292462	Mycobacterium florentinum	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
470076	Mycobacterium stomatepiae	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
560555	Mycobacterium mantenii	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
590652	Mycobacterium paraseoulense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1286181	Mycolicibacterium arabiense	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1801	Mycolicibacterium diernhoferi	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
133549	Mycobacterium shottsii	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
388459	Mycolicibacterium crocinum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2736649	Mycolicibacterium mengxianglii	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2420509	Gordonia insulae	Gordonia	Gordoniaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2884022	Capillimicrobium parvum	Capillimicrobium	Capillimicrobiaceae	Solirubrobacterales	Thermoleophilia	Actinomycetota	Bacteria
185642	Mycobacterium parmense	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
1799	Mycolicibacterium aichiense	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
28047	Mycolicibacterium confluentis	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2820884	Spiractinospora alimapuensis	Spiractinospora	Nocardiopsaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
